Model,Predicted CO₂ Emissions (grams/mile),Predicted Carbon Tax (NT$/mile)
LSTM,[30.021467 14.066118 26.696144 ... 15.397611 13.278836 20.333414],[0.00900644 0.00421984 0.00800884 ... 0.00461928 0.00398365 0.00610002]
RNN,[29.615482 14.125655 26.401003 ... 15.645036 13.746958 20.381802],[0.00888464 0.0042377  0.0079203  ... 0.00469351 0.00412409 0.00611454]
GRU,[29.387741 14.039801 26.614998 ... 15.673253 13.741139 20.449438],[0.00881632 0.00421194 0.0079845  ... 0.00470198 0.00412234 0.00613483]
Regression,[29.967497 14.166901 26.649523 ... 15.830187 13.919001 20.79913 ],[0.00899025 0.00425007 0.00799486 ... 0.00474906 0.0041757  0.00623974]
Seq2Seq,[30.211142 13.948696 26.894144 ... 15.961207 14.018646 20.901663],[0.00906334 0.00418461 0.00806824 ... 0.00478836 0.00420559 0.0062705 ]
Transformer,[31.466013 14.873415 28.130306 ... 16.409023 13.989255 21.521666],[0.0094398  0.00446202 0.00843909 ... 0.00492271 0.00419678 0.0064565 ]
